date,home_team,away_team,home_goals,away_goals
2026-03-21,Sporting Beta,Atlético Phi,1,0
2026-03-21,Racing Gamma,CF Epsilon,2,2
2026-03-21,CD Lambda,Real Sigma,0,0
2026-03-21,Unión Omega,Deportivo Delta,4,0
2026-03-28,Atlético Phi,Racing Gamma,1,4
2026-03-28,Sporting Beta,CD Lambda,0,0
2026-03-28,CF Epsilon,Unión Omega,2,1
2026-03-28,Real Sigma,Deportivo Delta,5,1
2026-04-04,CD Lambda,Atlético Phi,4,1
2026-04-04,Unión Omega,Racing Gamma,3,1
2026-04-04,Deportivo Delta,Sporting Beta,2,0
2026-04-04,Real Sigma,CF Epsilon,4,0
2026-04-11,Atlético Phi,Unión Omega,3,1
2026-04-11,CD Lambda,Deportivo Delta,2,2
2026-04-11,Racing Gamma,Real Sigma,1,2
2026-04-11,Sporting Beta,CF Epsilon,1,2
2026-04-18,Deportivo Delta,Atlético Phi,2,0
2026-04-18,Real Sigma,Unión Omega,2,2
2026-04-18,CF Epsilon,CD Lambda,0,1
2026-04-18,Sporting Beta,Racing Gamma,1,2
2026-04-25,Atlético Phi,Real Sigma,3,0
2026-04-25,Deportivo Delta,CF Epsilon,2,1
2026-04-25,Unión Omega,Sporting Beta,1,2
2026-04-25,CD Lambda,Racing Gamma,0,0
2026-05-02,CF Epsilon,Atlético Phi,1,4
2026-05-02,Sporting Beta,Real Sigma,0,0
2026-05-02,Racing Gamma,Deportivo Delta,0,2
2026-05-02,CD Lambda,Unión Omega,2,2
2026-05-09,Atlético Phi,Sporting Beta,1,2
2026-05-09,CF Epsilon,Racing Gamma,1,2
2026-05-09,Real Sigma,CD Lambda,2,3
2026-05-09,Deportivo Delta,Unión Omega,5,3
2026-05-16,Racing Gamma,Atlético Phi,0,2
2026-05-16,CD Lambda,Sporting Beta,2,0
2026-05-16,Unión Omega,CF Epsilon,1,0
2026-05-16,Deportivo Delta,Real Sigma,1,1
2026-05-23,Atlético Phi,CD Lambda,1,0
2026-05-23,Racing Gamma,Unión Omega,1,0
2026-05-23,Sporting Beta,Deportivo Delta,2,3
2026-05-23,CF Epsilon,Real Sigma,0,4
2026-05-30,Unión Omega,Atlético Phi,2,1
2026-05-30,Deportivo Delta,CD Lambda,1,0
2026-05-30,Real Sigma,Racing Gamma,2,1
2026-05-30,CF Epsilon,Sporting Beta,1,1
2026-06-06,Atlético Phi,Deportivo Delta,0,1
2026-06-06,Unión Omega,Real Sigma,1,1
2026-06-06,CD Lambda,CF Epsilon,2,2
2026-06-06,Racing Gamma,Sporting Beta,0,0
2026-06-13,Real Sigma,Atlético Phi,2,3
2026-06-13,CF Epsilon,Deportivo Delta,1,0
2026-06-13,Sporting Beta,Unión Omega,0,0
2026-06-13,Racing Gamma,CD Lambda,2,2
2026-06-20,Atlético Phi,CF Epsilon,3,1
2026-06-20,Real Sigma,Sporting Beta,0,0
2026-06-20,Deportivo Delta,Racing Gamma,4,2
2026-06-20,Unión Omega,CD Lambda,3,2
2026-06-27,Sporting Beta,Atlético Phi,1,3
2026-06-27,Racing Gamma,CF Epsilon,0,3
2026-06-27,CD Lambda,Real Sigma,3,3
2026-06-27,Unión Omega,Deportivo Delta,1,2
2026-07-04,Atlético Phi,Racing Gamma,3,0
2026-07-04,Sporting Beta,CD Lambda,0,1
2026-07-04,CF Epsilon,Unión Omega,0,3
2026-07-04,Real Sigma,Deportivo Delta,1,1
2026-07-11,CD Lambda,Atlético Phi,1,3
2026-07-11,Unión Omega,Racing Gamma,1,0
2026-07-11,Deportivo Delta,Sporting Beta,3,1
2026-07-11,Real Sigma,CF Epsilon,3,0
2026-07-18,Atlético Phi,Unión Omega,1,0
2026-07-18,CD Lambda,Deportivo Delta,2,0
2026-07-18,Racing Gamma,Real Sigma,3,1
2026-07-18,Sporting Beta,CF Epsilon,1,0
2026-07-25,Deportivo Delta,Atlético Phi,0,1
2026-07-25,Real Sigma,Unión Omega,3,2
2026-07-25,CF Epsilon,CD Lambda,1,1
2026-07-25,Sporting Beta,Racing Gamma,0,3
2026-08-01,Atlético Phi,Real Sigma,0,1
2026-08-01,Deportivo Delta,CF Epsilon,1,0
2026-08-01,Unión Omega,Sporting Beta,1,2
2026-08-01,CD Lambda,Racing Gamma,1,1
2026-08-08,CF Epsilon,Atlético Phi,2,4
2026-08-08,Sporting Beta,Real Sigma,0,1
2026-08-08,Racing Gamma,Deportivo Delta,0,0
2026-08-08,CD Lambda,Unión Omega,0,1
2026-08-15,Atlético Phi,Sporting Beta,2,1
2026-08-15,CF Epsilon,Racing Gamma,4,2
2026-08-15,Real Sigma,CD Lambda,3,0
2026-08-15,Deportivo Delta,Unión Omega,2,0
2026-08-22,Racing Gamma,Atlético Phi,0,4
2026-08-22,CD Lambda,Sporting Beta,0,0
2026-08-22,Unión Omega,CF Epsilon,2,0
2026-08-22,Deportivo Delta,Real Sigma,6,0
2026-08-29,Atlético Phi,CD Lambda,4,1
2026-08-29,Racing Gamma,Unión Omega,1,1
2026-08-29,Sporting Beta,Deportivo Delta,2,1
2026-08-29,CF Epsilon,Real Sigma,3,1
2026-09-05,Unión Omega,Atlético Phi,2,3
2026-09-05,Deportivo Delta,CD Lambda,1,3
2026-09-05,Real Sigma,Racing Gamma,4,2
2026-09-05,CF Epsilon,Sporting Beta,0,2
2026-09-12,Atlético Phi,Deportivo Delta,3,2
2026-09-12,Unión Omega,Real Sigma,1,2
2026-09-12,CD Lambda,CF Epsilon,3,2
2026-09-12,Racing Gamma,Sporting Beta,3,1
2026-09-19,Real Sigma,Atlético Phi,1,2
2026-09-19,CF Epsilon,Deportivo Delta,1,2
2026-09-19,Sporting Beta,Unión Omega,1,2
2026-09-19,Racing Gamma,CD Lambda,1,3
